Results for Algorithm (1000 tests) :
ReadingRuntime (ns); SolverRuntime (ns); TotalRuntime (ns); NumberOfRectangles; ContainerWidth (int); ContainerHeight int); ContainerArea (int); Coverage (%);
138675084;2700706961;2839382045;10000;510;450;229500;98;
21097045;2162588519;2183685564;10000;511;450;229950;97;
12907826;2132279047;2145186873;10000;511;450;229950;97;
10884324;2125479654;2136363978;10000;510;450;229500;98;
11207089;2077299600;2088506689;10000;509;450;229050;98;
12657753;2119776554;2132434307;10000;511;450;229950;97;
12180124;2074346520;2086526644;10000;508;450;228600;98;
11417262;2163075628;2174492890;10000;509;450;229050;98;
10777657;2084562006;2095339663;10000;511;450;229950;97;
9375192;2166503177;2175878369;10000;512;450;230400;97;
16171820;2501896095;2518067915;10000;511;450;229950;97;
9093908;2144512900;2153606808;10000;511;450;229950;97;
10778053;2183489218;2194267271;10000;509;450;229050;98;
13741405;2365189599;2378931004;10000;509;450;229050;98;
9494104;2177022070;2186516174;10000;509;450;229050;98;
11926495;2078926857;2090853352;10000;512;450;230400;97;
10298449;2035419190;2045717639;10000;510;450;229500;98;
8513168;2126251207;2134764375;10000;511;450;229950;97;
11813113;2041342338;2053155451;10000;507;450;228150;98;
9177266;2132613664;2141790930;10000;512;450;230400;97;
10723139;2095517836;2106240975;10000;511;450;229950;97;
8897563;2092695915;2101593478;10000;511;450;229950;97;
10734991;2038643677;2049378668;10000;508;450;228600;98;
8206601;2108616872;2116823473;10000;509;450;229050;98;
14470688;2235630942;2250101630;10000;510;450;229500;98;
8489860;2041941646;2050431506;10000;512;450;230400;97;
10825460;2022056253;2032881713;10000;507;450;228150;98;
8869119;2085154597;2094023716;10000;511;450;229950;97;
11646002;2140146291;2151792293;10000;507;450;228150;98;
8720180;2079600435;2088320615;10000;511;450;229950;97;
11236323;2031404185;2042640508;10000;511;450;229950;97;
8668032;2086836372;2095504404;10000;510;450;229500;98;
10387337;2050304296;2060691633;10000;510;450;229500;98;
8508427;2024307310;2032815737;10000;511;450;229950;97;
10727880;2085130893;2095858773;10000;511;450;229950;97;
8760476;2094809097;2103569573;10000;510;450;229500;98;
11672076;2099463705;2111135781;10000;512;450;230400;97;
8666452;2096361687;2105028139;10000;509;450;229050;98;
11407780;2086549953;2097957733;10000;509;450;229050;98;
8702798;2106257963;2114960761;10000;511;450;229950;97;
11696174;2040718537;2052414711;10000;507;450;228150;98;
11742002;2059657363;2071399365;10000;511;450;229950;97;
8653415;2105974310;2114627725;10000;509;450;229050;98;
10839682;2104915941;2115755623;10000;511;450;229950;97;
10042054;2035994398;2046036452;10000;508;450;228600;98;
7884231;2127605081;2135489312;10000;507;450;228150;98;
