Results for Algorithm (1000 tests) :
ReadingRuntime (ns); SolverRuntime (ns); TotalRuntime (ns); NumberOfRectangles; ContainerWidth (int); ContainerHeight (int); ContainerArea (int); Coverage (%);
356943888;2528712437;2885656325;10000;5371;42;225582;99;
30477372;2133446848;2163924220;10000;4700;48;225600;99;
14704168;2099321483;2114025651;10000;5367;42;225414;99;
11095682;2117751471;2128847153;10000;3639;62;225618;99;
14357305;2104057474;2118414779;10000;3641;62;225742;99;
12734789;2093629050;2106363839;10000;3319;68;225692;99;
11744371;2163701801;2175446172;10000;4526;50;226300;99;
11021016;2153521079;2164542095;10000;4528;50;226400;99;
9989116;2154648188;2164637304;10000;5128;44;225632;99;
8582304;2189944119;2198526423;10000;3896;58;225968;99;
8753365;2093760210;2102513575;10000;3428;66;226248;99;
10659139;2119742579;2130401718;10000;4347;52;226044;99;
10322547;2036430940;2046753487;10000;3760;60;225600;99;
9066648;2079669176;2088735824;10000;3896;58;225968;99;
8945366;2126253577;2135198943;10000;4698;48;225504;99;
10643732;1997601190;2008244922;10000;3320;68;225760;99;
8576773;2132582454;2141159227;10000;4347;52;226044;99;
11224076;2202581724;2213805800;10000;3897;58;226026;99;
10691139;2354393374;2365084513;10000;4933;46;226918;99;
9244031;2213917997;2223162028;10000;2510;90;225900;99;
10362449;2142688113;2153050562;10000;4936;46;227056;99;
8225169;2192329497;2200554666;10000;4935;46;227010;99;
12112964;2147556844;2159669808;10000;5124;44;225456;99;
8282847;2092907274;2101190121;10000;2261;100;226100;99;
11753063;1958134997;1969888060;10000;3432;66;226512;99;
7941515;2118320754;2126262269;10000;3763;60;225780;99;
13230986;2360518795;2373749781;10000;3758;60;225480;99;
13554541;2271306921;2284861462;10000;4526;50;226300;99;
11404620;2211434644;2222839264;10000;5124;44;225456;99;
8063194;2061593558;2069656752;10000;3761;60;225660;99;
10756324;2088021555;2098777879;10000;4696;48;225408;99;
10667041;2078337821;2089004862;10000;4700;48;225600;99;
10564720;2051220047;2061784767;10000;3050;74;225700;99;
10753954;2396711908;2407465862;10000;4345;52;225940;99;
12336963;2250379358;2262716321;10000;3639;62;225618;99;
17450633;2239586292;2257036925;10000;4347;52;226044;99;
11003238;2191009993;2202013231;10000;4180;54;225720;99;
10798201;2173897533;2184695734;10000;5931;38;225378;99;
12129951;2082897219;2095027170;10000;4932;46;226872;99;
11400669;2020515515;2031916184;10000;3895;58;225910;99;
10862201;1941056906;1951919107;10000;3134;72;225648;99;
10156226;1966270487;1976426713;10000;5367;42;225414;99;
9973709;2087661259;2097634968;10000;4699;48;225552;99;
9185957;2166059129;2175245086;10000;4699;48;225552;99;
12561358;2082041516;2094602874;10000;5652;40;226080;99;
8115342;2024076989;2032192331;10000;3639;62;225618;99;
10064177;2099906963;2109971140;10000;3758;60;225480;99;
9797907;2011758989;2021556896;10000;3318;68;225624;99;
7851836;1977217625;1985069461;10000;3051;74;225774;99;
10830201;1970917983;1981748184;10000;4345;52;225940;99;
7549614;2018589988;2026139602;10000;2570;88;226160;99;
10967682;2007053813;2018021495;10000;5127;44;225588;99;
9815684;2001999799;2011815483;10000;5935;38;225530;99;
10446597;1938907775;1949354372;10000;2980;76;226480;99;
10228128;1943812062;1954040190;10000;5126;44;225544;99;
7817861;1988423924;1996241785;10000;5122;44;225368;99;
